nome_dataset,nome_classificador,metrica,resultado_1,resultado_2,resultado_3,resultado_4,resultado_5,resultado_6,resultado_7,resultado_8,resultado_9,resultado_10,resultado_11,resultado_12,resultado_13,resultado_14,resultado_15,resultado_16,resultado_17,resultado_18,resultado_19,resultado_20
tic-tac-toe,perceptron,f1,0.4,0.55,0.51,0.4,0.4,0.44,0.34,0.47,0.53,0.5,0.41,0.41,0.32,0.54,0.31,0.52,0.39,0.52,0.51,0.54
tic-tac-toe,perceptron,acc,0.66,0.57,0.52,0.61,0.66,0.44,0.41,0.66,0.63,0.51,0.66,0.67,0.38,0.59,0.36,0.66,0.63,0.52,0.66,0.56
tic-tac-toe,svm,f1,0.46,0.41,0.45,0.42,0.5,0.42,0.39,0.42,0.45,0.45,0.45,0.48,0.44,0.4,0.42,0.46,0.44,0.46,0.46,0.44
tic-tac-toe,svm,acc,0.68,0.65,0.71,0.62,0.69,0.69,0.61,0.64,0.66,0.71,0.68,0.69,0.67,0.64,0.66,0.7,0.65,0.68,0.67,0.65
tic-tac-toe,bayes,f1,0.6,0.59,0.59,0.52,0.59,0.59,0.61,0.58,0.58,0.57,0.59,0.55,0.59,0.59,0.57,0.59,0.62,0.52,0.59,0.53
tic-tac-toe,bayes,acc,0.73,0.72,0.73,0.66,0.72,0.73,0.7,0.7,0.71,0.74,0.72,0.7,0.72,0.71,0.71,0.74,0.72,0.68,0.72,0.67
tic-tac-toe,trees,f1,0.86,0.85,0.85,0.86,0.85,0.8,0.83,0.93,0.92,0.85,0.84,0.81,0.93,0.85,0.86,0.84,0.84,0.87,0.8,0.88
tic-tac-toe,trees,acc,0.88,0.86,0.87,0.86,0.86,0.83,0.84,0.94,0.93,0.87,0.85,0.83,0.93,0.86,0.88,0.86,0.85,0.89,0.82,0.89
tic-tac-toe,knn,f1,0.83,0.82,0.81,0.77,0.74,0.76,0.74,0.8,0.84,0.78,0.78,0.77,0.83,0.78,0.77,0.71,0.83,0.77,0.8,0.79
tic-tac-toe,knn,acc,0.86,0.84,0.85,0.81,0.8,0.82,0.78,0.83,0.86,0.83,0.82,0.81,0.86,0.81,0.82,0.78,0.85,0.82,0.83,0.82
